Time,H.team.1,A.team.1,H.team.2,A.team.2,Choose.1,Choose.2,Odd.1,Odd.2,joint.odds
6/24/2018,England,Panama,Poland,Colombia,A,H,16.77,3.26,54.6702
6/24/2018,England,Panama,Poland,Colombia,A,D,16.77,3.2,53.664
6/24/2018,England,Panama,Poland,Colombia,A,A,16.77,2.29,38.4033
6/25/2018,Saudi Arabia,Egypt,Iran,Portugal,H,H,5.04,9.09,45.8136
6/25/2018,Saudi Arabia,Egypt,Iran,Portugal,D,H,3.55,9.09,32.2695
6/25/2018,Saudi Arabia,Egypt,Spain,Morocco,H,A,5.04,9.35,47.124
6/25/2018,Saudi Arabia,Egypt,Spain,Morocco,D,A,3.55,9.35,33.1925
6/25/2018,Iran,Portugal,Spain,Morocco,H,D,9.09,4.69,42.6321
6/25/2018,Iran,Portugal,Spain,Morocco,H,A,9.09,9.35,84.9915
6/25/2018,Iran,Portugal,Spain,Morocco,D,A,4.7,9.35,43.945
6/26/2018,Denmark,France,Nigeria,Argentina,H,H,5.51,7.22,39.7822
6/26/2018,Iceland,Croatia,Nigeria,Argentina,H,H,4.79,7.22,34.5838
6/27/2018,Serbia,Brazil,Switzerland,Costa Rica,H,A,8.72,4.35,37.932
6/27/2018,Serbia,Brazil,South Korea,Germany,D,H,4.74,11.15,52.851
6/27/2018,Serbia,Brazil,South Korea,Germany,H,D,8.72,5.44,47.4368
6/27/2018,Switzerland,Costa Rica,South Korea,Germany,D,H,3.34,11.15,37.241
6/27/2018,Switzerland,Costa Rica,South Korea,Germany,A,H,4.35,11.15,48.5025
6/27/2018,Mexico,Sweden,South Korea,Germany,D,H,3.17,11.15,35.3455
6/27/2018,Mexico,Sweden,South Korea,Germany,A,H,2.96,11.15,33.004
