Date,Exact_Date,HomeTeam,AwayTeam,Full time result,H,D,A,H.Implied.P,D.Implied.P,A.Implied.P,H.Adjusted.P,D.Adjusted.P,A.Adjusted.P,H.criterion,D.criterion,A.criterion,Max,Match,Index,Logic,Count,Accuracy,True.Draw,Select.Draw,Match?,Draw Accuracy
998,13.05.2017,Stoke,Arsenal,A,5.08,4.11,1.66,0.196850394,0.243309002,0.602409639,0.1893716,0.234065141,0.579522729,-0.122294646,0.047706295,0.095810517,0.095810517,3,A,TRUE,,,FALSE,FALSE,FALSE,
998,13.05.2017,Sunderland,Swansea,A,3.35,3.47,2.19,0.298507463,0.288184438,0.456621005,0.287166487,0.277235657,0.439272936,-0.127064784,0.068946221,-0.055458506,0.068946221,2,D,FALSE,,,FALSE,TRUE,FALSE,
997,12.05.2017,Everton,Watford,H,1.42,4.72,7.89,0.704225352,0.211864407,0.126742712,0.677470232,0.203815197,0.121927469,0.249958074,0.035131976,-0.095835876,0.249958074,1,H,TRUE,,,FALSE,FALSE,FALSE,
997,12.05.2017,West Brom,Chelsea,A,9.66,5,1.35,0.103519669,0.2,0.740740741,0.099586722,0.192401546,0.712598318,-0.0829013,0.030881855,0.314960472,0.314960472,3,A,TRUE,,,FALSE,FALSE,FALSE,
996,10.05.2017,Southampton,Arsenal,A,3.35,3.68,2.12,0.298507463,0.27173913,0.471698113,0.287166487,0.261415144,0.453777231,-0.127064784,0.060712737,-0.043606386,0.060712737,2,D,FALSE,,,FALSE,TRUE,FALSE,
995,08.05.2017,Chelsea,Middlesbrough,H,1.14,8.9,20.91,0.877192982,0.112359551,0.047824008,0.84386643,0.108090756,0.046007065,0.603274438,0.007876234,-0.043423523,0.603274438,1,H,TRUE,,,FALSE,FALSE,FALSE,
994,07.05.2017,Arsenal,Manchester United,H,2.1,3.51,3.58,0.476190476,0.284900285,0.279329609,0.458098919,0.274076276,0.268717243,-0.039905791,0.067260401,-0.129208244,0.067260401,2,D,FALSE,,,FALSE,TRUE,FALSE,
994,07.05.2017,Liverpool,Southampton,D,1.58,4.15,5.99,0.632911392,0.240963855,0.166944908,0.608865652,0.231809092,0.160602292,0.137804623,0.046702849,-0.113321438,0.137804623,1,H,FALSE,,,TRUE,FALSE,FALSE,
993,06.05.2017,Bournemouth,Stoke,D,2.32,3.42,3.13,0.431034483,0.292397661,0.319488818,0.414658504,0.28128881,0.307350712,-0.073570255,0.071139339,-0.123098586,0.071139339,2,D,TRUE,,,TRUE,TRUE,TRUE,
993,06.05.2017,Burnley,West Brom,D,2.51,3.03,3.18,0.398406375,0.330033003,0.314465409,0.383270012,0.3174943,0.302518154,-0.093011943,0.092244894,-0.124202419,0.092244894,2,D,TRUE,,,TRUE,TRUE,TRUE,
993,06.05.2017,Hull City,Sunderland,A,1.52,4.39,6.37,0.657894737,0.227790433,0.156985871,0.632899822,0.219136157,0.151021622,0.174868187,0.041262844,-0.10956935,0.174868187,1,H,FALSE,,,FALSE,FALSE,FALSE,
993,06.05.2017,Leicester,Watford,H,1.64,3.82,5.82,0.609756098,0.261780105,0.171821306,0.586590079,0.251834484,0.165293424,0.105597658,0.055979637,-0.115019442,0.105597658,1,H,TRUE,,,FALSE,FALSE,FALSE,
993,06.05.2017,Manchester City,Crystal Palace,H,1.25,6.7,11.24,0.8,0.149253731,0.088967972,0.769606184,0.143583243,0.085587876,0.431369894,0.015759847,-0.073738812,0.431369894,1,H,TRUE,,,FALSE,FALSE,FALSE,
993,06.05.2017,Swansea,Everton,H,2.51,3.41,2.86,0.398406375,0.293255132,0.34965035,0.383270012,0.282113704,0.336366339,-0.093011943,0.071589863,-0.114429133,0.071589863,2,D,FALSE,,,FALSE,TRUE,FALSE,
992,05.05.2017,West Ham,Tottenham,H,8.18,5.01,1.39,0.122249389,0.199600798,0.71942446,0.117604857,0.192017511,0.692091892,-0.093495145,0.030743561,0.276391211,0.276391211,3,A,FALSE,,,FALSE,FALSE,FALSE,
991,01.05.2017,Watford,Liverpool,A,5.77,4.24,1.59,0.173310225,0.235849057,0.628930818,0.166725776,0.226888616,0.605036308,-0.115519662,0.044551025,0.132121142,0.132121142,3,A,TRUE,,,FALSE,FALSE,FALSE,
990,30.04.2017,Everton,Chelsea,A,4.32,3.69,1.86,0.231481481,0.27100271,0.537634409,0.222686975,0.260706702,0.517208457,-0.12838566,0.060356215,0.018503717,0.060356215,2,D,FALSE,,,FALSE,TRUE,FALSE,
990,30.04.2017,Manchester United,Swansea,D,1.41,4.7,8.5,0.709219858,0.212765957,0.117647059,0.682274986,0.204682496,0.11317738,0.258546079,0.035466005,-0.091017087,0.258546079,1,H,FALSE,,,TRUE,FALSE,FALSE,
990,30.04.2017,Middlesbrough,Manchester City,D,11.33,6.04,1.27,0.088261253,0.165562914,0.787401575,0.084908008,0.159272803,0.757486401,-0.073273079,0.020079558,0.405490396,0.405490396,3,A,FALSE,,,TRUE,FALSE,FALSE,
990,30.04.2017,Tottenham,Arsenal,H,1.79,4.06,4.26,0.558659218,0.246305419,0.234741784,0.537434486,0.236947717,0.225823411,0.041826241,0.049003805,-0.128721403,0.049003805,2,D,FALSE,,,FALSE,TRUE,FALSE,
989,29.04.2017,Crystal Palace,Burnley,A,1.81,3.51,4.92,0.552486188,0.284900285,0.203252033,0.531495983,0.274076276,0.195530026,0.034802192,0.067260401,-0.123768282,0.067260401,2,D,FALSE,,,FALSE,TRUE,FALSE,
989,29.04.2017,Southampton,Hull City,D,1.57,4.17,5.98,0.636942675,0.239808153,0.16722408,0.612743777,0.230697297,0.160870858,0.143622646,0.046212237,-0.113421118,0.143622646,1,H,FALSE,,,TRUE,FALSE,FALSE,
989,29.04.2017,Stoke,West Ham,D,2.02,3.41,3.98,0.495049505,0.293255132,0.251256281,0.47624145,0.282113704,0.241710485,-0.023523316,0.071589863,-0.129793726,0.071589863,2,D,TRUE,,,TRUE,TRUE,TRUE,
989,29.04.2017,Sunderland,Bournemouth,A,3.27,3.56,2.2,0.305810398,0.280898876,0.454545455,0.294191966,0.27022689,0.437276241,-0.125876473,0.065234444,-0.057021599,0.065234444,2,D,FALSE,,,FALSE,TRUE,FALSE,
989,29.04.2017,West Brom,Leicester,A,2.75,3.21,2.73,0.363636364,0.31152648,0.366300366,0.349820993,0.299690882,0.352383784,-0.109221096,0.081526047,-0.108143748,0.081526047,2,D,FALSE,,,FALSE,TRUE,FALSE,
988,27.04.2017,Manchester City,Manchester United,D,1.92,3.46,4.4,0.520833333,0.289017341,0.227272727,0.501045693,0.278036916,0.21863812,0.001089263,0.069377065,-0.127891763,0.069377065,2,D,TRUE,,,TRUE,TRUE,TRUE,
987,26.04.2017,Arsenal,Leicester,H,1.47,4.9,6.53,0.680272109,0.204081633,0.153139357,0.654427027,0.196328108,0.147321245,0.210104799,0.032313436,-0.108017995,0.210104799,1,H,TRUE,,,FALSE,FALSE,FALSE,
987,26.04.2017,Crystal Palace,Tottenham,A,5.74,4.36,1.57,0.174216028,0.229357798,0.636942675,0.167597165,0.220643975,0.612743777,-0.115819803,0.041892593,0.143622646,0.143622646,3,A,TRUE,,,FALSE,FALSE,FALSE,
987,26.04.2017,Middlesbrough,Sunderland,H,2.16,3.39,3.53,0.462962963,0.294985251,0.283286119,0.445373949,0.283778091,0.272523436,-0.050579677,0.072503192,-0.128881906,0.072503192,2,D,FALSE,,,FALSE,TRUE,FALSE,
986,25.04.2017,Chelsea,Southampton,H,1.44,4.7,7.6,0.694444444,0.212765957,0.131578947,0.668060924,0.204682496,0.126579964,0.233417949,0.035466005,-0.09826843,0.233417949,1,H,TRUE,,,FALSE,FALSE,FALSE,
985,23.04.2017,Burnley,Manchester United,A,5.44,3.55,1.74,0.183823529,0.281690141,0.574712644,0.176839656,0.270988093,0.552878006,-0.11880895,0.065632626,0.060779317,0.065632626,2,D,FALSE,,,FALSE,TRUE,FALSE,
985,23.04.2017,Liverpool,Crystal Palace,A,1.5,4.41,6.88,0.666666667,0.22675737,0.145348837,0.641338487,0.218142342,0.139826705,0.188451315,0.040850357,-0.104701539,0.188451315,1,H,FALSE,,,FALSE,FALSE,FALSE,
984,22.04.2017,Bournemouth,Middlesbrough,H,1.86,3.67,4.33,0.537634409,0.272479564,0.230946882,0.517208457,0.262127447,0.222172686,0.018503717,0.061072255,-0.128326704,0.061072255,2,D,FALSE,,,FALSE,TRUE,FALSE,
984,22.04.2017,Hull City,Watford,H,1.87,3.61,4.33,0.534759358,0.27700831,0.230946882,0.514442636,0.266484136,0.222172686,0.01544667,0.063294146,-0.128326704,0.063294146,2,D,FALSE,,,FALSE,TRUE,FALSE,
984,22.04.2017,Swansea,Stoke,H,2.29,3.45,3.18,0.436681223,0.289855072,0.314465409,0.420090712,0.27884282,0.302518154,-0.069789771,0.069811754,-0.124202419,0.069811754,2,D,FALSE,,,FALSE,TRUE,FALSE,
984,22.04.2017,West Ham,Everton,D,3.65,3.62,2.04,0.273972603,0.276243094,0.490196078,0.263563762,0.265747992,0.471572417,-0.129554103,0.062915945,-0.02787018,0.062915945,2,D,TRUE,,,TRUE,TRUE,TRUE,
983,17.04.2017,Middlesbrough,Arsenal,A,6.26,4.65,1.5,0.159744409,0.215053763,0.666666667,0.153675356,0.206883383,0.641338487,-0.110646851,0.036320669,0.188451315,0.188451315,3,A,TRUE,,,FALSE,FALSE,FALSE,
982,16.04.2017,Manchester United,Chelsea,H,2.78,3.12,2.78,0.35971223,0.320512821,0.35971223,0.346045946,0.308335811,0.346045946,-0.110758312,0.086648571,-0.110758312,0.086648571,2,D,FALSE,,,FALSE,TRUE,FALSE,
982,16.04.2017,West Brom,Liverpool,A,4.52,3.66,1.83,0.221238938,0.273224044,0.546448087,0.212833569,0.262843642,0.525687284,-0.127064793,0.061434801,0.028073535,0.061434801,2,D,FALSE,,,FALSE,TRUE,FALSE,
981,15.04.2017,Crystal Palace,Leicester,D,1.98,3.45,4.04,0.505050505,0.289855072,0.247524752,0.48586249,0.27884282,0.238120725,-0.014280313,0.069811754,-0.129643205,0.069811754,2,D,TRUE,,,TRUE,TRUE,TRUE,
981,15.04.2017,Everton,Burnley,H,1.51,4.15,7.27,0.662251656,0.240963855,0.137551582,0.637091212,0.231809092,0.132325685,0.181577764,0.046702849,-0.101148367,0.181577764,1,H,TRUE,,,FALSE,FALSE,FALSE,
981,15.04.2017,Southampton,Manchester City,A,4.6,4,1.75,0.217391304,0.25,0.571428571,0.209132115,0.240501932,0.549718703,-0.126464298,0.050627416,0.056821375,0.056821375,3,A,TRUE,,,FALSE,FALSE,FALSE,
981,15.04.2017,Stoke,Hull City,H,1.98,3.46,4.07,0.505050505,0.289017341,0.245700246,0.48586249,0.278036916,0.236365536,-0.014280313,0.069377065,-0.129550105,0.069377065,2,D,FALSE,,,FALSE,TRUE,FALSE,
981,15.04.2017,Sunderland,West Ham,D,2.75,3.39,2.61,0.363636364,0.294985251,0.383141762,0.349820993,0.283778091,0.368585337,-0.109221096,0.072503192,-0.100700891,0.072503192,2,D,TRUE,,,TRUE,TRUE,TRUE,
981,15.04.2017,Tottenham,Bournemouth,H,1.23,6.7,12.39,0.81300813,0.149253731,0.08071025,0.782120106,0.143583243,0.077643885,0.458731879,0.015759847,-0.068176936,0.458731879,1,H,TRUE,,,FALSE,FALSE,FALSE,
981,15.04.2017,Watford,Swansea,H,2.66,3.18,2.85,0.37593985,0.314465409,0.350877193,0.361657041,0.302518154,0.337546572,-0.104017262,0.08318424,-0.114002406,0.08318424,2,D,FALSE,,,FALSE,TRUE,FALSE,
980,10.04.2017,Crystal Palace,Arsenal,H,4.59,4.08,1.73,0.217864924,0.245098039,0.578034682,0.209587741,0.235786208,0.556073832,-0.126541289,0.048478906,0.06482524,0.06482524,3,A,FALSE,,,FALSE,FALSE,FALSE,
979,09.04.2017,Everton,Leicester,H,1.75,3.83,4.79,0.571428571,0.261096606,0.208768267,0.549718703,0.251176953,0.200836687,0.056821375,0.055661797,-0.124911613,0.056821375,1,H,TRUE,,,FALSE,FALSE,FALSE,
979,09.04.2017,Sunderland,Manchester United,A,8.84,4.94,1.38,0.113122172,0.20242915,0.724637681,0.108824404,0.194738407,0.697107051,-0.088501266,0.031729987,0.285662392,0.285662392,3,A,TRUE,,,FALSE,FALSE,FALSE,
978,08.04.2017,Bournemouth,Chelsea,A,6.34,4.28,1.54,0.157728707,0.23364486,0.649350649,0.151736235,0.224768161,0.624680344,-0.109862386,0.043639227,0.161922525,0.161922525,3,A,TRUE,,,FALSE,FALSE,FALSE,
978,08.04.2017,Manchester City,Hull City,H,1.18,7.72,15.66,0.847457627,0.129533679,0.06385696,0.815260788,0.1246124,0.06143089,0.534340319,0.011220224,-0.056011381,0.534340319,1,H,TRUE,,,FALSE,FALSE,FALSE,
978,08.04.2017,Middlesbrough,Burnley,D,2.5,3.1,3.15,0.4,0.322580645,0.317460317,0.384803092,0.310325074,0.305399279,-0.092157526,0.087849292,-0.123556013,0.087849292,2,D,TRUE,,,TRUE,TRUE,TRUE,
978,08.04.2017,Stoke,Liverpool,A,3.44,3.28,2.25,0.290697674,0.304878049,0.444444444,0.27965341,0.29329504,0.427558991,-0.128108483,0.07783621,-0.064392008,0.07783621,2,D,FALSE,,,FALSE,TRUE,FALSE,
978,08.04.2017,Tottenham,Watford,H,1.22,6.56,13.77,0.819672131,0.152439024,0.072621641,0.788530926,0.14664752,0.06986258,0.473001518,0.0165633,-0.062474571,0.473001518,1,H,TRUE,,,FALSE,FALSE,FALSE,
978,08.04.2017,West Brom,Southampton,A,3,3.23,2.52,0.333333333,0.309597523,0.396825397,0.320669243,0.29783521,0.381749099,-0.119553838,0.080446731,-0.093849921,0.080446731,2,D,FALSE,,,FALSE,TRUE,FALSE,
978,08.04.2017,West Ham,Swansea,H,2.16,3.39,3.55,0.462962963,0.294985251,0.281690141,0.445373949,0.283778091,0.270988093,-0.050579677,0.072503192,-0.129020793,0.072503192,2,D,FALSE,,,FALSE,TRUE,FALSE,
977,05.04.2017,Arsenal,West Ham,H,1.41,5.18,7.19,0.709219858,0.193050193,0.139082058,0.682274986,0.185715778,0.133798015,0.258546079,0.028518052,-0.101864252,0.258546079,1,H,TRUE,,,FALSE,FALSE,FALSE,
977,05.04.2017,Chelsea,Manchester City,H,2.22,3.33,3.45,0.45045045,0.3003003,0.289855072,0.433336815,0.28889121,0.27884282,-0.060056923,0.075345027,-0.128207061,0.075345027,2,D,FALSE,,,FALSE,TRUE,FALSE,
977,05.04.2017,Hull City,Middlesbrough,H,2.05,3.27,4.07,0.487804878,0.305810398,0.245700246,0.469272063,0.294191966,0.236365536,-0.029978475,0.078348531,-0.129550105,0.078348531,2,D,FALSE,,,FALSE,TRUE,FALSE,
977,05.04.2017,Liverpool,Bournemouth,D,1.43,4.76,7.7,0.699300699,0.210084034,0.12987013,0.672732678,0.202102464,0.124936069,0.241584165,0.034476932,-0.097419203,0.241584165,1,H,FALSE,,,TRUE,FALSE,FALSE,
977,05.04.2017,Southampton,Crystal Palace,H,1.86,3.5,4.6,0.537634409,0.285714286,0.217391304,0.517208457,0.274859351,0.209132115,0.018503717,0.067676309,-0.126464298,0.067676309,2,D,FALSE,,,FALSE,TRUE,FALSE,
977,05.04.2017,Swansea,Tottenham,A,5.39,3.87,1.68,0.185528757,0.258397933,0.595238095,0.178480098,0.248580809,0.572623649,-0.119302375,0.054415643,0.086456725,0.086456725,3,A,TRUE,,,FALSE,FALSE,FALSE,
976,04.04.2017,Burnley,Stoke,H,2.45,3.11,3.23,0.408163265,0.321543408,0.309597523,0.392656216,0.309327244,0.29783521,-0.087627579,0.087245972,-0.125179436,0.087245972,2,D,FALSE,,,FALSE,TRUE,FALSE,
976,04.04.2017,Leicester,Sunderland,H,1.49,4.39,7.1,0.67114094,0.227790433,0.14084507,0.645642772,0.219136157,0.135494046,0.195493653,0.041262844,-0.102677733,0.195493653,1,H,TRUE,,,FALSE,FALSE,FALSE,
976,04.04.2017,Manchester United,Everton,D,1.58,4,6.33,0.632911392,0.25,0.157977883,0.608865652,0.240501932,0.151975945,0.137804623,0.050627416,-0.109960207,0.137804623,1,H,FALSE,,,TRUE,FALSE,FALSE,
976,04.04.2017,Watford,West Brom,H,2.46,3.13,3.19,0.406504065,0.319488818,0.313479624,0.391060053,0.307350712,0.301569821,-0.088569063,0.08605701,-0.124407636,0.08605701,2,D,FALSE,,,FALSE,TRUE,FALSE,
975,02.04.2017,Arsenal,Manchester City,D,2.85,3.71,2.4,0.350877193,0.269541779,0.416666667,0.337546572,0.259301275,0.400836554,-0.114002406,0.059652023,-0.082636205,0.059652023,2,D,TRUE,,,TRUE,TRUE,TRUE,
975,02.04.2017,Swansea,Middlesbrough,D,1.9,3.41,4.54,0.526315789,0.293255132,0.220264317,0.506319858,0.282113704,0.211895976,0.006652482,0.071589863,-0.126918072,0.071589863,2,D,TRUE,,,TRUE,TRUE,TRUE,
974,01.04.2017,Burnley,Tottenham,A,5.06,3.69,1.75,0.197628458,0.27100271,0.571428571,0.190120105,0.260706702,0.549718703,-0.122482172,0.060356215,0.056821375,0.060356215,2,D,FALSE,,,FALSE,TRUE,FALSE,
974,01.04.2017,Chelsea,Crystal Palace,A,1.33,5.27,10.35,0.751879699,0.189753321,0.096618357,0.723314083,0.182544161,0.092947607,0.335810651,0.027429201,-0.078657467,0.335810651,1,H,FALSE,,,FALSE,FALSE,FALSE,
974,01.04.2017,Hull City,West Ham,H,2.38,3.31,3.15,0.420168067,0.302114804,0.317460317,0.404204929,0.290636776,0.305399279,-0.08050006,0.076327645,-0.123556013,0.076327645,2,D,FALSE,,,FALSE,TRUE,FALSE,
974,01.04.2017,Leicester,Stoke,H,1.9,3.53,4.34,0.526315789,0.283286119,0.230414747,0.506319858,0.272523436,0.221660767,0.006652482,0.066439424,-0.128266928,0.066439424,2,D,FALSE,,,FALSE,TRUE,FALSE,
974,01.04.2017,Liverpool,Everton,H,1.72,3.73,5.26,0.581395349,0.268096515,0.190114068,0.55930682,0.25791092,0.182891203,0.068961418,0.058959423,-0.120573687,0.068961418,1,H,TRUE,,,FALSE,FALSE,FALSE,
974,01.04.2017,Manchester United,West Brom,D,1.38,4.86,9.3,0.724637681,0.205761317,0.107526882,0.697107051,0.197943977,0.103441691,0.285662392,0.032911874,-0.085281357,0.285662392,1,H,FALSE,,,TRUE,FALSE,FALSE,
974,01.04.2017,Southampton,Bournemouth,D,1.65,4.01,5.45,0.606060606,0.249376559,0.183486239,0.583034988,0.239902177,0.17651518,0.10064847,0.050351598,-0.118710026,0.10064847,1,H,FALSE,,,TRUE,FALSE,FALSE,
974,01.04.2017,Watford,Sunderland,H,1.95,3.49,4.16,0.512820513,0.286532951,0.240384615,0.493337297,0.275646914,0.231251858,-0.006833541,0.068095886,-0.129205837,0.068095886,2,D,FALSE,,,FALSE,TRUE,FALSE,
973,19.03.2017,Manchester City,Liverpool,D,1.95,3.74,3.87,0.512820513,0.267379679,0.258397933,0.493337297,0.257221318,0.248580809,-0.006833541,0.058617393,-0.129932399,0.058617393,2,D,TRUE,,,TRUE,TRUE,TRUE,
973,19.03.2017,Middlesbrough,Manchester United,A,5.75,3.82,1.66,0.173913043,0.261780105,0.602409639,0.167305692,0.251834484,0.579522729,-0.115719759,0.055979637,0.095810517,0.095810517,3,A,TRUE,,,FALSE,FALSE,FALSE,
973,19.03.2017,Tottenham,Southampton,H,1.69,3.84,5.33,0.591715976,0.260416667,0.187617261,0.569235343,0.250522846,0.180489255,0.081935317,0.055346504,-0.119891461,0.081935317,1,H,TRUE,,,FALSE,FALSE,FALSE,
972,18.03.2017,Bournemouth,Swansea,H,2.18,3.43,3.47,0.458715596,0.29154519,0.288184438,0.441287949,0.280468726,0.277235657,-0.053864267,0.070692844,-0.128394434,0.070692844,2,D,FALSE,,,FALSE,TRUE,FALSE,
972,18.03.2017,Crystal Palace,Watford,H,1.91,3.4,4.53,0.523560209,0.294117647,0.220750552,0.503668969,0.28294345,0.212363737,0.003841852,0.072044465,-0.126991727,0.072044465,2,D,FALSE,,,FALSE,TRUE,FALSE,
972,18.03.2017,Everton,Hull City,H,1.57,4.04,6.42,0.636942675,0.247524752,0.15576324,0.612743777,0.238120725,0.149845441,0.143622646,0.049536746,-0.109082417,0.143622646,1,H,TRUE,,,FALSE,FALSE,FALSE,
972,18.03.2017,Stoke,Chelsea,A,5.77,3.71,1.68,0.173310225,0.269541779,0.595238095,0.166725776,0.259301275,0.572623649,-0.115519662,0.059652023,0.086456725,0.086456725,3,A,TRUE,,,FALSE,FALSE,FALSE,
972,18.03.2017,Sunderland,Burnley,D,2.61,3.18,2.94,0.383141762,0.314465409,0.340136054,0.368585337,0.302518154,0.327213514,-0.100700891,0.08318424,-0.117541828,0.08318424,2,D,TRUE,,,TRUE,TRUE,TRUE,
972,18.03.2017,West Brom,Arsenal,H,5.55,4.03,1.64,0.18018018,0.248138958,0.609756098,0.173334726,0.238711595,0.586590079,-0.117717216,0.049806284,0.105597658,0.105597658,3,A,FALSE,,,FALSE,FALSE,FALSE,
972,18.03.2017,West Ham,Leicester,A,2.37,3.34,3.14,0.421940928,0.299401198,0.318471338,0.405910435,0.288026266,0.306371888,-0.079400477,0.074860478,-0.123330007,0.074860478,2,D,FALSE,,,FALSE,TRUE,FALSE,
971,12.03.2017,Liverpool,Burnley,H,1.27,5.96,12.08,0.787401575,0.167785235,0.082781457,0.757486401,0.161410693,0.079636401,0.405490396,0.020707789,-0.069596622,0.405490396,1,H,TRUE,,,FALSE,FALSE,FALSE,
970,11.03.2017,Bournemouth,West Ham,H,2.54,3.43,2.82,0.393700787,0.29154519,0.354609929,0.378743201,0.280468726,0.341137493,-0.095477795,0.070692844,-0.112668445,0.070692844,2,D,FALSE,,,FALSE,TRUE,FALSE,
970,11.03.2017,Everton,West Brom,H,1.65,3.83,5.81,0.606060606,0.261096606,0.17211704,0.583034988,0.251176953,0.165577923,0.10064847,0.055661797,-0.115119476,0.10064847,1,H,TRUE,,,FALSE,FALSE,FALSE,
970,11.03.2017,Hull City,Swansea,H,2.48,3.28,3.02,0.403225806,0.304878049,0.331125828,0.387906343,0.29329504,0.318545606,-0.090398111,0.07783621,-0.120168473,0.07783621,2,D,FALSE,,,FALSE,TRUE,FALSE,
